time,duty,v_in,current_motor
0.052,0.0,20.2,0.0
0.103,0.009,20.2,0.13
0.154,0.019,20.2,1.41
0.206,0.03,20.2,11.06
0.257,0.039,20.2,22.93
0.308,0.049,20.2,34.23
0.359,0.059,20.2,41.52
0.411,0.07,20.2,12.32
0.462,0.08,20.2,9.73
0.513,0.09,20.2,10.58
0.564,0.099,20.2,10.57
0.615,0.099,20.2,10.04
0.667,0.09,20.2,8.51
0.718,0.08,20.2,6.75
0.769,0.069,20.2,7.31
0.82,0.059,20.2,5.56
0.871,0.049,20.2,6.42
0.922,0.04,20.2,7.29
0.974,0.03,20.2,5.47
1.025,0.019,20.2,3.85
1.076,0.01,20.2,2.57
1.127,0.0,20.2,-0.65
1.178,-0.01,20.2,0.22
1.229,-0.019,20.2,2.55
1.28,-0.03,20.1,9.65
1.332,-0.04,20.2,25.23
1.383,-0.05,20.2,40.7
1.434,-0.059,20.2,48.42
1.485,-0.069,20.2,43.47
1.536,-0.08,20.2,9.77
1.587,-0.09,20.2,10.22
1.639,-0.099,20.2,10.87
1.69,-0.099,20.2,9.06
1.741,-0.09,20.2,7.73
1.792,-0.079,20.2,6.63
1.843,-0.07,20.2,6.86
1.894,-0.059,20.2,5.82
1.945,-0.049,20.2,6.47
1.997,-0.039,20.2,6.45
2.048,-0.03,20.2,5.78
2.099,-0.019,20.2,4.95
2.15,0.009,20.2,1.59
2.201,0.0,20.2,-0.18
2.252,0.0,20.2,0.08
2.304,0.01,20.2,0.69
2.355,0.02,20.2,3.57
2.406,0.03,20.1,15.46
2.457,0.039,20.2,31.37
2.508,0.049,20.2,40.53
2.559,0.06,20.2,37.25
2.61,0.07,20.2,9.67
2.662,0.079,20.2,10.11
2.713,0.09,20.2,10.29
2.764,0.099,20.2,10.75
2.815,0.099,20.2,9.11
2.866,0.09,20.2,6.98
2.917,0.08,20.2,7.27
2.969,0.07,20.2,6.16
3.02,0.06,20.2,6.59
3.071,0.049,20.2,7.03
3.122,0.04,20.2,4.99
3.173,0.03,20.2,4.26
3.224,0.02,20.2,4.9
3.276,0.009,20.2,2.55
3.327,0.0,20.2,0.16
3.378,0.01,20.2,-0.64
3.429,-0.02,20.2,9.55
3.481,-0.03,20.2,21.69
3.532,-0.039,20.2,33.89
3.584,-0.049,20.2,43.57
3.636,-0.069,20.2,16.39
3.688,-0.08,20.2,10.26
3.739,-0.09,20.2,10.1
3.79,-0.099,20.2,10.93
3.842,-0.1,20.2,10.14
3.893,-0.09,20.2,8.6
3.945,-0.079,20.2,6.87
3.996,-0.069,20.2,6.5
4.047,-0.06,20.2,6.14
4.099,-0.049,20.2,6.85
4.15,-0.039,20.2,6.22
4.202,-0.03,20.2,6.1
4.297,-0.01,20.2,3.94
4.348,0.0,20.2,-0.66
4.4,0.0,20.2,0.13
4.451,0.01,20.2,0.26
4.502,0.02,20.2,2.55
4.554,0.029,20.1,10.31
4.605,0.04,20.2,25.53
4.657,0.049,20.2,35.86
4.709,0.06,20.2,40.06
4.761,0.07,20.2,11.67
4.813,0.08,20.2,9.58
4.865,0.09,20.2,10.77
4.917,0.099,20.2,10.17
4.969,0.1,20.2,9.43
5.021,0.089,20.2,7.63
5.073,0.079,20.2,6.84
5.125,0.07,20.2,6.53
5.177,0.06,20.2,6.45
5.229,0.05,20.2,6.87
5.281,0.039,20.2,6.29
5.333,0.03,20.2,4.25
5.385,0.02,20.2,4.04
5.437,-0.01,20.2,1.98
5.489,0.0,20.2,-0.73
5.541,-0.009,20.2,0.71
5.594,-0.02,20.2,3.76
5.646,-0.03,20.2,16.87
5.698,-0.04,20.2,32.4
5.749,-0.049,20.2,42.9
5.801,-0.06,20.2,46.49
5.853,-0.07,20.2,12.4
5.904,-0.08,20.2,9.74
5.956,-0.089,20.2,10.56
6.008,-0.099,20.2,10.61
6.06,-0.099,20.2,8.89
6.111,-0.089,20.2,7.25
6.163,-0.08,20.2,6.55
6.216,-0.06,20.2,6.38
6.267,-0.049,20.2,6.41
6.319,-0.039,20.2,6.12
6.371,-0.029,20.2,5.96
