time,duty,v_in,current_motor,current_in
0.051,0.0,20.2,0.0,0.0
0.103,0.009,20.2,0.12,0.0
0.154,0.02,20.2,1.31,0.0
0.206,0.03,20.2,8.03,0.11
0.257,0.04,20.2,23.47,0.51
0.308,0.049,20.2,33.86,1.01
0.359,0.06,20.2,41.84,1.55
0.411,0.069,20.2,14.18,0.65
0.462,0.08,20.2,11.79,0.67
0.513,0.09,20.2,13.12,0.85
0.564,0.099,20.2,12.18,0.9
0.615,0.099,20.2,12.66,1.02
0.666,0.09,20.2,9.91,0.79
0.717,0.079,20.2,8.96,0.63
0.769,0.07,20.2,8.43,0.53
0.82,0.06,20.2,10.14,0.48
0.871,0.049,20.2,8.74,0.39
0.922,0.039,20.2,8.7,0.3
0.973,0.03,20.2,6.63,0.18
1.025,0.02,20.2,6.52,0.12
1.076,-0.009,20.2,4.45,0.06
1.127,0.0,20.2,-1.48,0.0
1.178,-0.009,20.2,0.25,0.0
1.229,-0.019,20.2,1.84,0.01
1.28,-0.03,20.2,9.94,0.18
1.332,-0.04,20.2,26.06,0.63
1.383,-0.049,20.2,41.08,1.36
1.434,-0.06,20.2,49.21,1.97
1.485,-0.07,20.2,49.69,2.25
1.536,-0.08,20.2,9.69,0.55
1.587,-0.09,20.2,8.56,0.58
1.638,-0.099,20.2,8.8,0.68
1.69,-0.099,20.2,7.49,0.6
1.741,-0.09,20.2,6.34,0.46
1.792,-0.079,20.2,4.94,0.32
1.843,-0.07,20.2,4.8,0.28
1.894,-0.06,20.2,4.6,0.22
1.945,-0.049,20.2,4.72,0.19
1.997,-0.04,20.2,4.37,0.13
